[제조]총자본증가율,[제조]자기자본증가율,[제조]매출채권회전률,[제조]순운전자본비율,[제조]자기자본배율,[제조]비유동비율,[제조]유동자산구성비율,[제조]자기자본구성비율,[제조]자본분배율,year,label
2.5,4.52,30.33,9.23,2189.64,136.07,19.72,59.0,65.72,2020,0
-21.74,3.05,5.45,29.83,372.66,65.12,57.26,65.63,42.38,2011,0
3.95,12.04,6.35,36.46,332.14,57.06,59.64,70.74,22.22,2012,0
13.17,2.04,8.26,37.83,338.91,54.17,65.45,63.78,23.22,2013,0
141.05,99.04,6.17,26.21,342.88,73.6,61.24,52.67,17.74,2014,0
21.66,22.09,19.39,2.21,423.13,109.66,39.38,55.28,39.87,2015,0
56.89,40.31,4.24,-7.7,407.4,124.65,38.38,49.44,-2.57,2016,0
-9.38,-5.23,8.29,2.26,386.08,120.61,37.57,51.76,-151.07,2017,0
-9.73,-17.97,7.18,-7.46,309.53,124.88,40.11,47.96,0.0,2018,0
34.43,1.97,6.61,-13.46,295.96,151.96,45.36,35.95,-6.04,2019,0
-15.98,-13.58,10.39,-13.0,255.76,143.66,44.73,38.47,-113.35,2020,0
-28.38,-22.79,5.94,5.07,60.55,101.42,49.48,49.81,0.0,2011,0
-26.54,-22.0,4.0,6.2,456.21,108.48,42.62,52.89,-190.6,2012,0
-36.57,-70.22,3.08,-20.62,93.21,239.8,40.45,24.83,0.0,2013,0
-3.56,-25.04,13.65,-18.9,90.23,216.18,34.01,30.53,25.89,2014,0
-24.15,-8.95,4.75,-5.66,68.67,204.62,25.02,36.65,-20.82,2015,0
37.65,3.99,6.63,-4.8,71.41,213.53,40.89,27.68,24.19,2016,0
-0.48,68.28,4.0,4.82,84.96,103.31,51.64,46.81,-42.37,2017,0
-1.79,-20.83,3.4,8.14,58.59,103.74,60.85,37.74,-124.81,2018,0
122.08,131.12,5.34,5.02,364.84,104.32,62.26,36.18,-67.45,2019,0
-38.83,9.01,4.51,9.36,303.82,96.08,39.75,62.71,0.0,2020,0
4.74,0.85,6.64,-30.4,557.79,247.4,39.37,24.51,41.14,2011,0
7.82,0.09,7.06,-30.55,558.29,258.45,41.17,22.76,44.75,2012,0
-7.4,6.36,8.4,-23.73,593.8,244.81,35.98,26.15,41.12,2013,0
4.44,34.25,7.61,-14.26,517.9,189.11,36.65,33.5,37.18,2014,0
3.51,8.11,7.54,-6.2,559.89,181.72,36.47,34.96,36.5,2015,0
3.36,2.6,7.26,-7.81,574.43,194.89,32.47,34.65,35.23,2016,0
12.15,-3.28,8.56,-9.47,555.59,220.15,34.3,29.84,31.73,2017,0
8.32,23.7,11.07,-7.04,515.4,206.06,29.99,33.98,43.21,2018,0
1.97,5.42,10.58,-9.29,543.33,190.23,33.97,34.71,40.95,2019,0
2.52,-3.06,7.99,-12.92,526.69,200.96,34.04,32.82,42.23,2020,0
2.02,11.93,21.57,35.39,1283.83,43.09,74.13,60.03,19.09,2011,0
15.81,19.57,24.61,43.1,1535.05,32.2,80.04,61.98,27.55,2012,0
37.71,13.96,21.24,33.87,1749.28,38.16,80.43,51.29,27.49,2013,0
3.21,13.34,23.29,40.03,1982.69,33.69,81.03,56.32,26.62,2014,0
6.88,12.05,56.52,37.19,2221.53,40.81,75.9,59.05,24.57,2015,0
12.31,4.35,59.98,39.14,2318.1,33.9,81.4,54.86,21.64,2016,0
3.74,14.21,59.98,45.03,2647.57,28.96,82.51,60.4,28.25,2017,0
6.48,9.38,59.98,45.89,2896.01,30.1,81.32,62.04,24.2,2018,0
27.12,13.59,59.98,45.16,3289.7,22.45,87.55,55.44,25.17,2019,0
20.99,34.58,59.98,3.57,4427.31,99.07,38.91,61.67,31.25,2020,0
-0.86,0.59,11.34,33.11,1942.69,65.54,41.38,89.44,41.04,2011,0
5.32,7.59,9.81,35.08,2094.75,63.84,41.67,91.37,39.72,2012,0
4.0,1.42,8.88,39.81,2124.5,60.43,46.1,89.2,34.72,2013,0
-0.29,1.25,8.22,39.12,2150.98,60.05,45.66,90.5,30.89,2014,0
-0.41,0.58,6.36,39.93,2163.53,60.24,44.89,91.5,-13.41,2015,0
-1.65,-1.92,6.45,34.96,2121.96,65.84,40.03,91.09,-5.09,2016,0
13.71,14.67,7.28,30.73,2433.16,70.21,35.78,91.47,44.66,2017,0
-1.48,-2.41,8.71,25.62,2374.42,76.83,30.55,90.39,24.21,2018,0
5.81,-5.54,11.26,17.82,2242.89,84.72,31.22,81.18,-18.4,2019,0
-3.01,10.17,5.77,25.27,2471.05,77.12,29.93,90.86,70.4,2020,0
30.7,-6.4,22.55,13.76,320.71,109.28,41.38,53.64,-65.42,2011,0
-1.35,40.41,27.56,24.78,312.52,84.96,35.13,76.35,57.49,2012,0
4.83,0.84,41.87,20.28,315.14,82.1,39.71,73.44,33.35,2013,0
-6.52,1.93,32.96,25.73,315.35,77.01,38.33,80.08,25.16,2014,0
8.0,3.67,18.82,24.09,297.51,73.09,43.82,76.86,7.93,2015,0
3.07,3.24,19.81,27.23,295.34,71.39,45.04,76.99,21.23,2016,0
0.65,4.06,16.26,28.37,301.54,68.63,45.38,79.59,31.2,2017,0
-8.72,-1.64,14.58,27.43,296.59,68.01,41.66,85.77,12.49,2018,0
13.79,2.08,29.48,28.83,302.77,69.26,46.71,76.94,15.39,2019,0
2.0,-3.43,28.88,24.73,292.38,73.85,46.21,72.85,-3.96,2020,0
44.28,-9.82,12.98,-8.05,1055.26,151.83,35.79,42.29,-0.62,2011,0
-4.84,20.92,12.37,-3.91,1276.02,125.93,32.5,53.6,49.61,2012,0
116.02,2.11,8.22,16.15,1302.96,82.38,61.25,47.04,52.42,2013,0
20.13,11.42,4.52,13.76,1451.81,86.35,59.51,46.88,55.12,2014,0
9.7,1.91,4.43,12.8,1479.51,85.07,63.5,42.9,54.59,2015,0
-1.57,-14.03,4.34,12.97,1271.97,78.29,68.27,40.53,24.58,2016,0
-12.97,-18.31,5.08,14.05,1039.09,77.41,68.15,41.14,20.26,2017,0
0.28,-3.89,7.0,13.59,998.69,76.66,69.74,39.48,37.29,2018,0
-1.64,-3.71,7.0,12.74,961.68,85.61,67.8,37.62,39.58,2019,0
-9.95,1.97,6.14,9.28,714.3,96.44,63.31,38.04,26.69,2020,0
30.7,33.64,15.13,74.47,1361.94,8.92,92.89,77.76,51.71,2018,0
-3.76,-0.3,15.7,70.87,706.09,12.87,89.64,80.5,36.96,2019,0
-5.28,-2.84,12.82,70.56,686.02,19.24,84.14,82.44,31.76,2020,0
13.5,57.72,4.32,29.08,1513.21,90.51,53.21,51.7,50.9,2019,0
23.21,-8.79,4.45,17.53,692.97,115.49,55.89,38.19,9.63,2020,0
41.54,14.32,4.24,22.31,719.53,67.62,64.51,52.49,27.54,2011,0
2.38,29.23,10.47,29.02,830.55,61.68,58.74,66.9,35.16,2012,0
16.35,17.57,12.09,32.91,922.31,58.62,60.1,68.07,29.79,2013,0
11.73,18.39,9.19,38.51,1044.51,53.11,61.4,72.67,31.66,2014,0
-0.4,11.09,9.05,35.78,1160.4,60.52,50.78,81.32,22.99,2015,0
28.29,6.71,7.52,31.68,1238.21,58.54,60.2,67.98,19.5,2016,0
14.53,28.2,11.73,35.36,1587.44,56.83,56.56,76.44,36.3,2017,0
2.57,9.53,8.22,35.78,1738.77,58.71,52.04,81.7,25.89,2018,0
30.21,22.58,6.41,42.35,2131.39,46.24,65.07,75.55,36.9,2019,0
3.72,11.4,6.23,47.11,2374.41,43.97,64.74,80.19,28.91,2020,0
-28.11,-25.96,2.4,2.22,357.95,124.22,50.06,40.2,0.0,2011,0
-10.15,-10.1,5.12,-8.24,321.8,138.02,42.28,41.82,-37.85,2012,0
5.84,5.71,6.68,-14.93,340.18,140.3,41.4,41.77,38.53,2013,0
5.01,4.33,4.84,-14.68,354.91,139.82,42.09,41.42,33.93,2014,0
1.56,7.47,4.48,-6.28,381.42,129.07,43.43,43.83,36.21,2015,0
-0.15,8.9,4.35,0.25,407.58,124.37,40.55,47.8,36.86,2016,0
-0.97,-15.23,4.07,12.78,340.41,124.84,48.92,40.91,15.78,2017,0
-6.41,11.08,3.37,4.7,374.84,116.5,43.43,48.56,-39.63,2018,0
0.23,-37.73,6.21,-29.2,162.26,211.13,36.3,30.17,0.0,2019,0
19.45,62.3,6.45,-16.82,134.17,155.38,36.31,40.99,-710.1,2020,1
14.14,17.29,8.39,53.36,2544.84,37.86,69.31,81.07,37.28,2011,0
12.01,20.9,12.78,60.3,3076.84,34.32,69.97,87.51,37.12,2012,0
35.5,27.42,5.98,47.51,3920.56,45.34,62.69,82.29,32.55,2013,0
10.58,13.22,5.85,45.39,4438.85,49.17,58.46,84.48,29.23,2014,0
19.58,11.65,5.6,45.94,4956.03,45.44,64.17,78.86,26.48,2015,0
13.77,13.22,5.05,48.41,5611.35,41.67,67.3,78.46,29.48,2016,0
7.72,9.25,5.86,50.37,6130.28,39.93,68.24,79.53,32.58,2017,0
13.33,19.87,9.8,53.96,6407.62,38.28,67.81,84.08,41.82,2018,0
7.3,8.6,8.7,51.57,6407.62,40.8,65.32,84.99,32.78,2019,0
4.4,7.32,11.35,47.38,6407.62,48.53,57.5,87.58,32.9,2020,0
7.67,21.14,6.94,7.34,853.71,117.78,32.53,57.28,54.85,2014,0
15.03,-14.44,5.03,-7.22,730.47,161.23,30.15,43.32,-84.4,2015,0
2.62,-11.76,4.7,-16.1,644.54,190.26,29.63,36.99,2.07,2016,0
16.63,52.61,6.21,-2.88,358.31,123.25,39.83,48.82,43.63,2017,0
-1.38,-22.93,4.51,9.44,266.32,119.44,54.28,38.28,-9.66,2018,0
-34.23,-59.0,2.39,-1.88,105.25,205.47,51.05,23.82,0.0,2019,0
-11.55,82.87,2.33,28.01,139.65,85.37,58.75,48.32,-710.1,2020,0
-10.87,-26.55,3.46,15.3,421.96,90.84,64.31,39.29,0.0,2011,0
-15.1,-3.18,4.9,26.14,408.56,55.89,75.95,43.04,23.0,2012,0
7.61,14.61,3.71,35.62,468.25,41.39,80.82,46.34,45.17,2013,0
-0.96,5.51,2.74,39.69,494.07,34.33,83.06,49.33,35.59,2014,0
-2.61,9.66,3.38,50.62,539.83,27.33,84.8,55.6,36.91,2015,0
-2.37,-5.67,2.65,43.63,502.68,28.26,84.82,53.73,-11.75,2016,0
-5.49,-11.49,3.24,47.27,444.91,33.68,83.2,49.89,-65.49,2017,0
-19.9,-10.37,3.69,47.15,398.78,30.48,82.83,56.32,-21.01,2018,0
18.88,10.21,5.41,39.39,439.5,51.13,73.44,51.94,37.79,2019,0
6.05,0.1,5.59,43.0,439.95,42.46,78.97,49.53,17.01,2020,0
12.29,22.12,15.99,63.22,2324.74,29.74,74.38,86.15,70.09,2019,0
16.5,6.26,11.96,58.09,2470.22,40.98,67.8,78.58,66.14,2020,0
-16.14,-29.72,2.99,-5.82,834.04,143.2,41.1,41.13,0.0,2016,0
9.75,46.24,6.79,5.47,907.76,108.57,46.76,49.03,50.66,2017,0
18.22,30.88,7.2,8.3,391.2,96.1,47.22,54.93,37.08,2018,0
7.28,8.05,6.09,5.17,390.8,108.01,42.32,53.4,31.82,2019,0
-5.61,-14.7,4.97,16.76,333.34,68.28,67.85,47.09,-39.21,2020,0
35.73,333.24,4.0,12.17,310.3,90.72,47.71,57.63,23.3,2019,0
-9.9,-0.14,4.32,21.29,309.87,75.34,51.88,63.88,26.55,2020,0
46.84,124.52,5.88,51.33,1609.29,44.73,64.37,79.66,56.88,2011,0
-6.44,-2.75,7.4,48.45,1565.01,46.34,61.63,82.8,27.39,2012,0
-1.21,2.24,5.7,56.39,1600.09,42.73,63.38,85.69,41.14,2013,0
6.15,6.42,3.96,60.0,1702.89,36.98,68.23,85.91,51.24,2014,0
16.42,19.99,4.72,64.48,1362.15,30.43,73.05,88.54,60.13,2015,0
0.95,5.01,4.01,69.68,1430.43,28.04,74.18,92.11,49.64,2016,0
5.61,6.86,4.36,64.93,1528.59,32.9,69.33,93.2,48.96,2017,0
10.7,7.17,4.51,64.1,1638.13,31.16,71.88,90.23,48.31,2018,0
3.47,5.55,4.73,67.9,1729.07,29.19,73.13,92.04,39.69,2019,0
4.65,-1.75,4.94,55.61,1698.78,41.43,64.2,86.42,19.39,2020,0
32.41,1.03,2.39,61.16,295.52,45.3,73.77,57.9,0.0,2011,0
-10.5,-20.08,2.69,45.58,236.19,79.44,58.92,51.71,0.0,2012,0
0.82,2.62,3.61,45.31,238.66,83.94,55.83,52.63,21.66,2013,0
-3.44,50.57,3.08,41.53,314.58,56.69,53.47,82.07,-3.84,2014,0
21.79,8.19,2.73,33.2,315.62,71.69,47.74,72.9,-534.13,2015,0
-13.25,-33.41,2.62,34.51,209.32,92.99,47.96,55.96,0.0,2016,0
-7.3,-7.22,3.92,14.61,193.97,83.16,53.43,56.01,15.66,2017,0
-0.49,48.12,3.22,42.98,267.38,53.55,55.36,83.37,47.92,2018,0
10.62,16.71,2.76,51.51,309.25,47.27,58.42,87.96,48.53,2019,0
13.24,10.87,3.2,54.19,339.5,43.19,62.8,86.12,35.14,2020,0
6.92,-6.98,0.93,16.8,322.22,61.54,74.32,41.73,19.26,2011,0
6.24,13.78,0.93,15.69,330.81,67.19,69.97,44.7,-55.74,2012,1
50.39,211.19,10.75,13.79,3230.19,83.02,75.45,29.57,45.33,2015,0
-3.9,18.82,9.32,16.54,3789.74,85.73,68.62,36.6,24.25,2016,0
-27.31,-57.1,11.57,-7.39,1610.05,193.29,58.48,21.48,0.0,2017,0
-16.6,17.3,13.94,-5.65,1884.04,146.75,56.23,29.82,49.78,2018,0
63.78,22.84,12.72,-14.21,2311.88,182.92,58.37,22.76,37.24,2019,0
-5.73,-13.32,12.18,-24.79,1056.13,236.96,50.41,20.93,25.97,2020,0
7.13,28.83,2.78,51.91,1305.81,12.04,92.89,57.85,39.67,2013,0
0.37,11.34,3.28,58.2,1453.89,11.75,92.46,64.17,46.47,2014,0
45.36,11.13,3.87,38.69,1615.66,24.3,88.08,49.06,46.41,2015,0
86.21,50.18,2.23,17.94,2152.78,72.56,71.29,39.57,43.77,2016,0
19.72,21.88,3.35,22.06,2623.74,58.43,76.37,40.44,48.79,2017,0
-4.07,10.46,3.08,27.55,2898.18,51.99,75.65,46.83,41.32,2018,0
17.53,7.14,3.77,25.42,3105.08,49.76,78.61,42.99,47.72,2019,0
18.47,17.84,3.58,35.95,3659.07,30.64,85.43,47.55,45.82,2020,0
34.78,333.24,3.95,19.8,612.37,112.14,33.61,59.2,0.0,2011,0
-5.41,-14.03,6.94,7.23,526.47,143.09,23.01,53.81,-27.11,2012,0
3.61,-34.26,3.6,0.53,346.12,218.67,25.34,34.14,0.0,2013,0
-17.04,-12.77,8.37,-29.83,249.33,218.11,21.7,35.9,0.0,2014,0
37.32,113.0,3.12,24.07,414.52,106.65,40.62,55.68,-66.4,2015,0
18.22,-9.03,2.38,17.99,362.24,143.6,38.48,42.84,-62.88,2016,0
12.11,25.61,3.64,16.71,411.34,127.46,38.81,48.01,-24.53,2017,0
-13.33,-14.45,3.17,-11.26,332.16,161.0,23.7,47.39,-184.47,2018,0
60.12,159.12,4.16,35.59,553.45,68.09,47.78,76.69,-25.52,2019,0
48.54,16.18,2.67,51.82,643.02,62.02,62.8,59.98,-710.1,2020,0
59.78,79.4,17.47,68.71,239.51,18.11,85.25,81.45,0.0,2011,0
9.49,11.27,19.08,72.2,266.5,16.49,86.35,82.78,30.75,2012,0
9.44,11.21,19.08,77.3,296.38,10.97,90.77,84.11,30.23,2013,0
14.51,11.32,14.86,76.52,329.93,9.77,92.01,81.76,34.3,2014,0
19.63,17.67,8.93,62.51,372.37,25.19,79.74,80.42,35.04,2015,0
8.87,17.64,12.55,58.37,438.06,30.7,74.41,83.36,37.66,2016,0
15.97,14.25,11.94,44.21,500.47,46.82,61.55,82.12,35.2,2017,0
20.74,17.29,10.52,45.6,587.01,44.63,64.4,79.77,37.73,2018,0
38.85,20.62,9.93,46.64,708.04,41.73,68.13,76.38,36.03,2019,0
10.94,14.44,8.23,50.71,810.31,35.93,71.8,78.49,35.68,2020,0
187.78,333.24,12.27,54.72,1927.09,27.39,79.63,74.36,85.04,2013,0
29.91,41.1,15.15,25.08,741.15,70.6,42.98,80.76,85.04,2014,0
-21.74,-29.57,21.11,2.85,518.2,100.4,27.03,72.68,0.0,2015,0
23.68,-6.27,3.53,49.47,485.68,76.69,57.76,55.08,0.0,2016,0
-0.22,0.68,6.4,42.69,470.76,79.76,49.07,63.86,0.0,2017,0
-28.61,-30.44,8.71,1.08,320.59,101.2,39.63,59.65,0.0,2018,0
-20.24,-36.99,7.63,27.51,201.99,160.85,32.46,41.99,0.0,2019,0
4.13,-15.99,8.95,-21.0,169.7,191.81,40.26,31.15,14.97,2020,0
49.22,9.06,4.72,13.96,303.26,84.32,49.18,60.27,33.21,2011,0
13.4,13.51,2.87,7.21,321.43,96.17,40.82,61.53,-359.37,2012,0
-4.02,-15.88,3.88,8.18,185.69,90.17,51.37,53.93,0.0,2013,0
-27.26,-46.53,3.22,6.07,59.71,95.19,62.27,39.64,0.0,2014,0
-47.32,-8.53,2.02,19.59,246.0,81.88,41.76,71.13,-15.94,2015,0
1.13,7.65,4.53,24.38,264.83,76.34,42.19,75.72,33.78,2016,0
13.39,23.17,2.85,31.95,305.25,67.58,44.41,82.26,26.71,2017,0
-17.14,-19.26,2.99,28.54,247.41,72.45,41.86,80.25,-168.24,2018,0
-4.25,-8.24,4.12,46.1,213.62,56.55,56.51,76.91,-39.57,2019,0
-18.7,-11.35,5.13,37.94,189.37,64.48,45.93,83.86,0.69,2020,0
-0.26,15.3,6.94,43.35,1150.48,54.31,63.32,67.54,54.08,2020,0
32.47,45.48,11.88,4.54,2337.11,137.75,29.85,50.93,75.26,2015,0
11.96,12.55,16.95,-2.02,2630.42,145.02,25.75,51.2,81.41,2016,0
1.67,5.01,11.05,0.61,1841.52,137.71,27.17,52.89,77.88,2017,0
3.94,6.94,8.62,-0.4,1969.28,136.48,25.74,54.41,69.49,2018,0
-1.01,2.35,8.4,3.75,2015.46,127.79,28.11,56.26,65.03,2019,0
2.39,4.21,7.13,2.04,2100.4,113.81,34.83,57.26,66.79,2020,0
44.44,5.29,7.87,6.42,2269.75,142.36,37.95,43.58,58.72,2011,0
-0.07,5.33,5.95,18.77,2390.72,105.44,51.39,46.1,45.55,2012,0
-19.01,12.72,6.01,11.14,2694.76,115.92,32.34,58.37,53.5,2013,0
-16.48,-3.89,5.9,34.64,2589.97,78.43,47.23,67.28,21.68,2014,0
-11.57,-6.61,5.81,43.87,2418.85,40.48,71.42,70.6,-11.14,2015,0
-15.21,2.5,7.13,48.97,2479.42,44.57,61.94,85.39,27.72,2016,0
-4.12,-2.16,8.1,51.27,2425.79,43.65,62.03,86.99,6.69,2017,0
20.49,12.28,9.25,28.38,2723.74,70.86,42.26,81.49,37.03,2018,0
8.53,8.24,10.02,36.79,2948.12,62.83,48.08,82.63,35.97,2019,0
20.44,19.95,10.64,39.74,3517.25,58.39,51.81,82.53,48.99,2020,0
10.87,-21.91,7.76,15.41,3443.61,99.44,46.72,53.58,52.64,2011,0
-1.46,3.62,6.13,21.3,3568.23,82.49,53.93,55.85,37.84,2012,0
-14.66,13.53,6.27,19.63,4051.07,83.58,40.88,70.73,49.72,2013,0
-2.47,28.86,6.31,36.77,5220.16,62.09,49.43,81.45,55.74,2014,0
-0.54,26.99,5.39,58.44,6407.62,35.86,69.05,86.33,53.43,2015,0
-6.57,-6.27,7.12,55.11,6213.35,40.86,63.31,89.81,-4.6,2016,0
-1.61,0.67,8.03,57.31,6255.12,39.7,63.96,90.78,-5.68,2017,0
12.54,6.07,9.47,41.0,6407.62,56.82,50.33,87.42,35.66,2018,0
5.34,4.87,20.36,42.8,6407.62,56.52,50.1,88.29,41.41,2019,0
18.11,12.97,0.93,41.92,6407.62,57.67,49.88,86.91,58.65,2020,0
